,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
7531,4,0,0,0,571,-2.339333,1612169003162
1819,6,0,0,0,571,-2.339333,1597990511680
6762,4,0,0,0,618,-2.339333,1611345373202
7532,6,0,0,0,571,-2.339333,1612169003679
3850,18,15,0,0,548,-2.343162,1604603287098
289,10,19,0,500,763,-2.344774,1596603470053
938,10,20,0,500,763,-2.344774,1596863548330
359,10,21,0,500,763,-2.344774,1596654695329
6135,10,19,0,500,724,-2.344774,1609839748758
7917,10,21,0,0,663,-2.366109,1612469915717
3301,8,15,1,0,673,-2.3895485,1602193965595
419,6,15,0,500,763,-2.3968692,1596693782019
417,2,15,0,500,763,-2.3968692,1596693763021
5959,6,15,0,500,724,-2.3968692,1609060816593
416,0,15,0,500,763,-2.3968692,1596693743032
418,4,15,0,500,763,-2.3968692,1596693772566
374,6,15,0,500,763,-2.3968692,1596655758618
373,4,15,0,500,763,-2.3968692,1596655700507
2468,8,15,1,0,372,-2.4084802,1599581151475
6685,8,15,1,0,269,-2.4084802,1611004437104
3625,8,15,1,0,480,-2.4084802,1603658114470
3934,8,15,1,500,529,-2.4084802,1604795486809
516,8,15,1,500,259,-2.4084802,1596723662413
3105,8,15,1,0,232,-2.4084802,1601582695949
2466,8,15,1,0,540,-2.4084802,1599580781500
2161,8,20,1,500,544,-2.4206886,1598335316587
7218,10,15,1,0,571,-2.423258,1612168685312
4488,0,0,1,0,544,-2.4520214,1605663245901
4108,10,2,0,0,699,-2.4701612,1605419495071
404,2,0,1,500,763,-2.4738648,1596693204398
1272,2,0,1,500,763,-2.4738648,1596935944618
629,2,0,1,500,763,-2.4738648,1596785249671
1274,6,0,1,500,763,-2.4738648,1596935974721
4595,6,0,0,500,571,-2.4870925,1605775517302
4594,2,0,0,500,571,-2.4870925,1605775516546
3931,16,0,1,0,480,-2.4942932,1604786623711
3590,14,0,1,0,480,-2.4942932,1603555245048
4866,14,0,1,0,132,-2.4942932,1606255518918
1579,14,0,1,0,403,-2.4942932,1597341443053
3082,18,0,1,0,127,-2.4942932,1601482637406
2168,10,20,0,500,640,-2.5081284,1598387047510
5988,2,15,0,0,673,-2.5118713,1583226028670
