,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
40,4,0,2,0,763,-1.2233963,1596576769574
60,4,0,2,0,763,-1.2233963,1596578911112
578,4,0,2,0,763,-1.2233963,1596782988175
991,4,0,2,0,763,-1.2233963,1596867353504
77,4,19,2,0,763,-1.2409015,1596579326566
988,4,15,2,0,763,-1.2409015,1596867084117
124,4,12,2,0,763,-1.2409015,1596580745438
447,4,12,2,0,763,-1.2409015,1596695253599
1430,4,13,2,0,763,-1.2409015,1596952160467
1420,4,15,2,0,763,-1.2409015,1596951722204
1413,4,19,2,0,763,-1.2409015,1596951635284
1042,4,15,2,0,763,-1.2409015,1596879846867
1388,4,13,2,0,763,-1.2409015,1596950721935
95,4,15,2,0,763,-1.2409015,1596579777496
969,4,15,2,0,763,-1.2409015,1596865446593
1023,4,13,2,0,763,-1.2409015,1596879065348
1333,4,19,2,0,763,-1.2409015,1596939301378
585,4,12,2,0,763,-1.2409015,1596783289801
994,4,15,2,0,763,-1.2409015,1596867515630
1308,4,15,2,0,763,-1.2409015,1596937998660
1287,4,19,2,0,763,-1.2409015,1596936908865
1359,4,13,2,0,763,-1.2409015,1596940795780
3645,4,9,2,0,480,-1.2464795,1603726315237
3087,12,20,6,0,632,-1.2605082,1601491187729
6378,0,20,6,0,801,-1.2806772,1609846398259
6449,0,20,6,0,801,-1.2806772,1609975294087
6437,0,20,6,0,801,-1.2806772,1609975154911
2144,2,2,0,0,480,-1.2940063,1598284788345
3135,2,2,0,0,480,-1.2940063,1601756328269
8123,0,2,6,0,632,-1.3178036,1613239452850
6412,4,21,8,0,801,-1.3315673,1609974686736
5050,2,9,2,0,480,-1.3318212,1607050607504
3265,2,9,2,0,480,-1.3318212,1601850197440
1073,4,20,10,500,763,-1.3547473,1596914951808
932,4,20,8,1000,763,-1.3547473,1596863092618
1270,4,20,7,500,763,-1.3547473,1596935611483
916,4,20,9,1000,763,-1.3547473,1596862112089
922,4,20,7,1000,763,-1.3547473,1596862462047
4478,4,2,6,500,480,-1.3668172,1605663234811
3973,4,2,6,1000,480,-1.3668172,1604976580655
5792,4,2,6,500,480,-1.3668172,1582140666392
2204,4,2,6,500,480,-1.3668172,1598540264553
3144,4,20,8,500,632,-1.3698164,1601767867895
6914,2,0,2,0,73,-1.406996,1612060841933
3295,2,0,2,0,91,-1.406996,1597124613629
2193,2,0,2,0,100,-1.406996,1598496633878
8013,2,0,2,0,48,-1.406996,1612907291181
2752,2,2,10,1000,480,-1.4182017,1600297626835
6086,2,2,10,500,480,-1.4182017,1609717708847
8216,2,2,9,500,480,-1.4182017,1613529289438
7035,4,20,6,0,571,-1.4282528,1612168516840
7197,4,20,6,0,571,-1.4282528,1612168673913
7698,4,20,6,0,571,-1.4282528,1612169097131
7435,4,20,6,0,571,-1.4282528,1612168947654
3128,4,20,6,0,567,-1.4282528,1601743432465
7514,4,20,6,0,571,-1.4282528,1612168994057
7475,4,20,6,0,571,-1.4282528,1612168971470
7265,4,20,6,0,571,-1.4282528,1612168708017
7467,4,20,6,0,571,-1.4282528,1612168965029
4869,4,20,6,0,544,-1.4282528,1606263869139
170,0,20,2,0,763,-1.4582467,1596598459067
5246,4,21,6,0,544,-1.4814845,1607932045270
8099,4,21,6,0,620,-1.4814845,1613151139088
5009,4,20,2,0,747,-1.4955446,1606941291150
5068,4,20,2,0,747,-1.4955446,1607109175671
4885,4,20,2,0,673,-1.4955446,1606285952110
541,2,20,7,0,763,-1.5049728,1596743686146
534,2,20,7,0,763,-1.5049728,1596743171897
639,2,20,8,0,763,-1.5049728,1596785562163
518,2,20,7,0,763,-1.5049728,1596742144209
2899,4,9,2,0,73,-1.5360945,1600825860510
3988,4,9,2,0,73,-1.5360945,1604983313866
5974,4,9,2,0,110,-1.5360945,1609193757251
2590,4,9,2,0,18,-1.5360945,1599608007329
7,0,9,2,0,763,-1.5398699,1596573997910
4,0,9,2,0,763,-1.5398699,1596573593310
506,16,20,6,0,763,-1.5498725,1596704737819
502,8,20,6,0,763,-1.5498725,1596704648662
503,10,20,6,0,763,-1.5498725,1596704706951
504,12,20,6,0,763,-1.5498725,1596704714708
505,14,20,6,0,763,-1.5498725,1596704728334
761,10,20,6,0,763,-1.5498725,1596791537222
2064,0,20,6,0,571,-1.5730196,1597990913938
7263,0,20,6,0,571,-1.5730196,1612168707088
7195,0,20,6,0,571,-1.5730196,1612168672931
7696,0,20,6,0,571,-1.5730196,1612169096131
7033,0,20,6,0,571,-1.5730196,1612168515989
7820,0,20,6,0,571,-1.5730196,1612169166763
3935,4,6,2,0,843,-1.5896726,1604797585368
5136,4,8,2,0,795,-1.5896726,1607484165447
1619,4,2,1,0,48,-1.5952439,1597279369267
4971,4,2,1,0,119,-1.5952439,1606833177495
5815,4,2,1,0,122,-1.5952439,1608260104616
1669,4,2,0,0,55,-1.5952439,1597810529286
3184,4,2,0,0,8,-1.5952439,1601925195319
5833,4,2,1,0,149,-1.5952439,1608424813808
2997,4,2,1,0,94,-1.5952439,1601170076119
6182,4,2,0,0,56,-1.5952439,1609842197130
35,4,2,2,500,763,-1.614475,1596576047627
1406,4,6,2,500,763,-1.614475,1596951369636
154,4,2,2,500,763,-1.614475,1596582467628
476,4,2,2,500,763,-1.614475,1596702984588
1055,4,2,2,500,763,-1.614475,1596880384064
471,4,8,2,500,763,-1.614475,1596702871764
5248,0,21,6,0,544,-1.6262513,1607932046360
3,0,21,2,0,763,-1.6301999,1596573290248
5033,0,2,6,0,403,-1.6435639,1607017619490
6563,0,2,6,0,383,-1.6435639,1610328794278
733,4,12,6,0,763,-1.6445771,1596790551741
754,4,13,6,0,763,-1.6445771,1596791423615
789,4,15,6,0,763,-1.6445771,1596835484320
