wardrobe_id,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_created_at_ms,wardrobe_designer,wardrobe_photo_signature
wardrobe-1612168488172,12,White,A-line,298,1612168488172,Nina Canacci,wardrobe-1612168488172
wardrobe-1612168488950,0,Black,Mermaid,398,1612168488950,Nina Canacci,wardrobe-1612168488950
wardrobe-1612168489439,2,Black,Mermaid,398,1612168489439,Nina Canacci,wardrobe-1612168489439
wardrobe-1612168489950,4,Black,Mermaid,398,1612168489950,Nina Canacci,wardrobe-1612168489950
wardrobe-1612168490417,6,Black,Mermaid,398,1612168490417,Nina Canacci,wardrobe-1612168490417
wardrobe-1612168490874,8,Black,Mermaid,398,1612168490874,Nina Canacci,wardrobe-1612168490874
wardrobe-1612168491334,10,Black,Mermaid,398,1612168491334,Nina Canacci,wardrobe-1612168491334
wardrobe-1612168491781,12,Black,Mermaid,398,1612168491781,Nina Canacci,wardrobe-1612168491781
wardrobe-1612168492329,14,Black,Mermaid,398,1612168492329,Nina Canacci,wardrobe-1612168492329
wardrobe-1612168492816,16,Black,Mermaid,398,1612168492816,Nina Canacci,wardrobe-1612168492816
wardrobe-1612168493297,6,White,Straight,278,1612168493297,Nina Canacci,wardrobe-1612168493297
wardrobe-1612168493920,12,White,Straight,278,1612168493920,Nina Canacci,wardrobe-1612168493920
wardrobe-1612168494516,14,White,Straight,278,1612168494516,Nina Canacci,wardrobe-1612168494516
wardrobe-1612168495113,6,Blue,Ball gown,458,1612168495113,Nina Canacci,wardrobe-1612168495113
wardrobe-1612168495548,0,White,Ball gown,458,1612168495548,Nina Canacci,wardrobe-1612168495548
wardrobe-1612168496050,2,White,Ball gown,458,1612168496050,Nina Canacci,wardrobe-1612168496050
wardrobe-1612168496476,8,White,Ball gown,458,1612168496476,Nina Canacci,wardrobe-1612168496476
wardrobe-1612168496938,10,White,Ball gown,458,1612168496938,Nina Canacci,wardrobe-1612168496938
wardrobe-1612168497423,12,White,Ball gown,458,1612168497423,Nina Canacci,wardrobe-1612168497423
wardrobe-1612168497945,16,White,Ball gown,458,1612168497945,Nina Canacci,wardrobe-1612168497945
wardrobe-1612168498405,18,White,Ball gown,458,1612168498405,Nina Canacci,wardrobe-1612168498405
wardrobe-1612168498907,20,White,Ball gown,458,1612168498907,Nina Canacci,wardrobe-1612168498907
wardrobe-1612168499353,22,White,Ball gown,458,1612168499353,Nina Canacci,wardrobe-1612168499353
wardrobe-1612168499810,24,White,Ball gown,458,1612168499810,Nina Canacci,wardrobe-1612168499810
wardrobe-1612168500275,2,Red,Straight,298,1612168500275,Nina Canacci,wardrobe-1612168500275
wardrobe-1612168500981,4,Red,Straight,298,1612168500981,Nina Canacci,wardrobe-1612168500981
wardrobe-1612168501605,6,Red,Straight,298,1612168501605,Nina Canacci,wardrobe-1612168501605
wardrobe-1612168502237,8,Red,Straight,298,1612168502237,Nina Canacci,wardrobe-1612168502237
wardrobe-1612168502812,10,Red,Straight,298,1612168502812,Nina Canacci,wardrobe-1612168502812
wardrobe-1612168503402,12,Red,Straight,298,1612168503402,Nina Canacci,wardrobe-1612168503402
wardrobe-1612168503984,14,Red,Straight,298,1612168503984,Nina Canacci,wardrobe-1612168503984
wardrobe-1612168504661,16,Red,Straight,298,1612168504661,Nina Canacci,wardrobe-1612168504661
wardrobe-1612168505300,4,Blue,Straight,298,1612168505300,Nina Canacci,wardrobe-1612168505300
wardrobe-1612168505782,6,Blue,Straight,298,1612168505782,Nina Canacci,wardrobe-1612168505782
wardrobe-1612168506206,8,Blue,Straight,298,1612168506206,Nina Canacci,wardrobe-1612168506206
wardrobe-1612168506703,10,Blue,Straight,298,1612168506703,Nina Canacci,wardrobe-1612168506703
wardrobe-1612168507181,12,Blue,Straight,298,1612168507181,Nina Canacci,wardrobe-1612168507181
wardrobe-1612168507661,14,Blue,Straight,298,1612168507661,Nina Canacci,wardrobe-1612168507661
wardrobe-1612168508137,0,Blue,Mermaid,338,1612168508137,Nina Canacci,wardrobe-1612168508137
wardrobe-1612168508632,2,Blue,Mermaid,338,1612168508632,Nina Canacci,wardrobe-1612168508632
wardrobe-1612168509105,4,Blue,Mermaid,338,1612168509105,Nina Canacci,wardrobe-1612168509105
wardrobe-1612168509577,6,Blue,Mermaid,338,1612168509577,Nina Canacci,wardrobe-1612168509577
wardrobe-1612168510102,8,Blue,Mermaid,338,1612168510102,Nina Canacci,wardrobe-1612168510102
wardrobe-1612168510621,10,Blue,Mermaid,338,1612168510621,Nina Canacci,wardrobe-1612168510621
wardrobe-1612168511128,10,White,Ball gown,378,1612168511128,Nina Canacci,wardrobe-1612168511128
wardrobe-1612168511735,12,White,Ball gown,378,1612168511735,Nina Canacci,wardrobe-1612168511735
wardrobe-1612168512279,14,White,Ball gown,378,1612168512279,Nina Canacci,wardrobe-1612168512279
wardrobe-1612168512849,16,White,Ball gown,378,1612168512849,Nina Canacci,wardrobe-1612168512849
wardrobe-1612168513482,18,White,Ball gown,378,1612168513482,Nina Canacci,wardrobe-1612168513482
wardrobe-1612168514106,20,White,Ball gown,378,1612168514106,Nina Canacci,wardrobe-1612168514106
wardrobe-1612168514720,22,White,Ball gown,378,1612168514720,Nina Canacci,wardrobe-1612168514720
wardrobe-1612168515371,24,White,Ball gown,378,1612168515371,Nina Canacci,wardrobe-1612168515371
wardrobe-1612168515989,0,White,Mermaid,338,1612168515989,Nina Canacci,wardrobe-1612168515989
wardrobe-1612168516401,2,White,Mermaid,338,1612168516401,Nina Canacci,wardrobe-1612168516401
wardrobe-1612168516840,4,White,Mermaid,338,1612168516840,Nina Canacci,wardrobe-1612168516840
wardrobe-1612168517297,6,White,Mermaid,338,1612168517297,Nina Canacci,wardrobe-1612168517297
wardrobe-1612168517840,8,White,Mermaid,338,1612168517840,Nina Canacci,wardrobe-1612168517840
wardrobe-1612168518288,10,White,Mermaid,338,1612168518288,Nina Canacci,wardrobe-1612168518288
wardrobe-1612168518745,12,White,Mermaid,338,1612168518745,Nina Canacci,wardrobe-1612168518745
wardrobe-1612168519293,14,White,Mermaid,338,1612168519293,Nina Canacci,wardrobe-1612168519293
wardrobe-1612168519740,16,White,A-line,458,1612168519740,Nina Canacci,wardrobe-1612168519740
wardrobe-1612168520499,18,White,A-line,458,1612168520499,Nina Canacci,wardrobe-1612168520499
wardrobe-1612168521302,20,White,A-line,458,1612168521302,Nina Canacci,wardrobe-1612168521302
wardrobe-1612168522006,22,White,A-line,458,1612168522006,Nina Canacci,wardrobe-1612168522006
wardrobe-1612168522777,24,White,A-line,458,1612168522777,Nina Canacci,wardrobe-1612168522777
wardrobe-1612168523529,2,White,Ball gown,398,1612168523529,Nina Canacci,wardrobe-1612168523529
wardrobe-1612168524164,4,White,Ball gown,398,1612168524164,Nina Canacci,wardrobe-1612168524164
wardrobe-1612168524826,6,White,Ball gown,398,1612168524826,Nina Canacci,wardrobe-1612168524826
wardrobe-1612168525431,8,White,Ball gown,398,1612168525431,Nina Canacci,wardrobe-1612168525431
wardrobe-1612168526001,12,White,Ball gown,398,1612168526001,Nina Canacci,wardrobe-1612168526001
wardrobe-1612168526623,14,White,Ball gown,398,1612168526623,Nina Canacci,wardrobe-1612168526623
wardrobe-1612168527269,16,White,Ball gown,398,1612168527269,Nina Canacci,wardrobe-1612168527269
wardrobe-1612168527922,18,White,Ball gown,398,1612168527922,Nina Canacci,wardrobe-1612168527922
wardrobe-1612168528539,20,White,Ball gown,398,1612168528539,Nina Canacci,wardrobe-1612168528539
wardrobe-1612168529175,22,White,Ball gown,398,1612168529175,Nina Canacci,wardrobe-1612168529175
wardrobe-1612168529805,24,White,Ball gown,398,1612168529805,Nina Canacci,wardrobe-1612168529805
wardrobe-1612168530415,2,Pink,Side slit,278,1612168530415,Nina Canacci,wardrobe-1612168530415
wardrobe-1612168530859,6,Pink,Side slit,278,1612168530859,Nina Canacci,wardrobe-1612168530859
wardrobe-1612168531302,8,Pink,Side slit,278,1612168531302,Nina Canacci,wardrobe-1612168531302
wardrobe-1612168531731,4,Blue,Side slit,278,1612168531731,Nina Canacci,wardrobe-1612168531731
wardrobe-1612168532165,8,Blue,Side slit,278,1612168532165,Nina Canacci,wardrobe-1612168532165
wardrobe-1612168532637,10,Blue,Side slit,278,1612168532637,Nina Canacci,wardrobe-1612168532637
wardrobe-1612168533073,0,Green,Side slit,278,1612168533073,Nina Canacci,wardrobe-1612168533073
wardrobe-1612168533699,4,Green,Side slit,278,1612168533699,Nina Canacci,wardrobe-1612168533699
wardrobe-1612168534338,6,Green,Side slit,278,1612168534338,Nina Canacci,wardrobe-1612168534338
wardrobe-1612168534923,8,Green,Side slit,278,1612168534923,Nina Canacci,wardrobe-1612168534923
